metabolomics_id,hmmf_panel,compound,value
LD_206_05,PFBBr,dopamine,0.03473
LD_206_05,PFBBr,glutamate,0.1012
LD_206_05,PFBBr,glycine,3.10134
LD_206_05,PFBBr,hexanoate,0.55595
LD_206_05,PFBBr,histamine,0.03473
LD_206_05,PFBBr,hydrocinnamate,0.22619
LD_206_05,PFBBr,indole-3-acetate,0.03473
LD_206_05,PFBBr,indole-3-carboxaldehyde,0.03473
LD_206_05,PFBBr,indole-3-propionate,0.03473
LD_206_05,PFBBr,isobutyrate,3.65111
LD_206_05,PFBBr,isoleucine,2.48951
LD_206_05,PFBBr,isovaleric acid,4.43474
LD_206_05,PFBBr,itaconate,0.03473
LD_206_05,PFBBr,leucine,2.97708
LD_206_05,PFBBr,lysine,0.17017
LD_206_05,PFBBr,methionine,0.13548
LD_206_05,PFBBr,palmitate,3.57609
LD_206_05,PFBBr,p-cresol,3.90029
LD_206_05,PFBBr,phenol,0.03473
LD_206_05,PFBBr,phenylacetate,0.3301
LD_206_05,PFBBr,phenylalanine,0.43023
LD_206_05,PFBBr,proline,1.66142
LD_206_05,PFBBr,propionate,16.84674
LD_206_05,PFBBr,serine,0.03473
LD_206_05,PFBBr,succinate,0.09478
LD_206_05,PFBBr,synephrine,0.03473
LD_206_05,PFBBr,threonine,0.03473
LD_206_05,PFBBr,toluate,0.03473
LD_206_05,PFBBr,trans-indole-3-acrylate,0.03473
LD_206_05,PFBBr,tryptamine,0.03473
LD_206_05,PFBBr,tryptophan,0.03473
LD_206_05,PFBBr,tyramine,0.33444
LD_206_05,PFBBr,tyrosine,0.03473
LD_206_05,PFBBr,valerate,6.60151
LD_206_05,PFBBr,valine,5.43398
LD_206_05,PFBBr,vanillin,0.03473
LD_218_06,PFBBr,2-methylbutyrate,3.8178
LD_218_06,PFBBr,3-aminoisobutyrate,0.04623
LD_218_06,PFBBr,4-methylvalerate,0.04623
LD_218_06,PFBBr,5-aminovalerate,2.16847
LD_218_06,PFBBr,acetate,37.13738
LD_218_06,PFBBr,alanine,3.65539
LD_218_06,PFBBr,aspartate,0.07489
LD_218_06,PFBBr,benzoate,1.33099
LD_218_06,PFBBr,butyrate,12.15501
LD_218_06,PFBBr,catechol,0.04623
LD_218_06,PFBBr,crotonate,0.26726
LD_218_06,PFBBr,cysteine,0.06491
LD_218_06,PFBBr,desaminotyrosine,0.09436
LD_218_06,PFBBr,dopamine,0.04623
LD_218_06,PFBBr,glutamate,0.14406
LD_218_06,PFBBr,glycine,2.5465
LD_218_06,PFBBr,hexanoate,5.09406
LD_218_06,PFBBr,histamine,0.04623
LD_218_06,PFBBr,hydrocinnamate,0.04623
LD_218_06,PFBBr,indole-3-acetate,0.04623
LD_218_06,PFBBr,indole-3-carboxaldehyde,0.04623
LD_218_06,PFBBr,indole-3-propionate,0.04623
LD_218_06,PFBBr,isobutyrate,4.54035
LD_218_06,PFBBr,isoleucine,8.68408
LD_218_06,PFBBr,isovaleric acid,6.01244
LD_218_06,PFBBr,itaconate,0.04623
LD_218_06,PFBBr,leucine,8.71501
LD_218_06,PFBBr,lysine,0.63364
LD_218_06,PFBBr,methionine,0.55556
LD_218_06,PFBBr,palmitate,11.61956
LD_218_06,PFBBr,p-cresol,3.87504
LD_218_06,PFBBr,phenol,0.19126
LD_218_06,PFBBr,phenylacetate,0.52625
LD_218_06,PFBBr,phenylalanine,1.42646
LD_218_06,PFBBr,proline,1.32156
LD_218_06,PFBBr,propionate,27.20681
LD_218_06,PFBBr,serine,0.04623
LD_218_06,PFBBr,succinate,0.04623
LD_218_06,PFBBr,synephrine,0.04623
LD_218_06,PFBBr,threonine,0.04623
LD_218_06,PFBBr,toluate,0.04623
LD_218_06,PFBBr,trans-indole-3-acrylate,0.04623
LD_218_06,PFBBr,tryptamine,0.04623
LD_218_06,PFBBr,tryptophan,0.04623
LD_218_06,PFBBr,tyramine,0.8727
LD_218_06,PFBBr,tyrosine,0.04623
LD_218_06,PFBBr,valerate,6.83526
LD_218_06,PFBBr,valine,12.88528
LD_218_06,PFBBr,vanillin,0.04623
LD_279_05,PFBBr,2-methylbutyrate,0.71421
LD_279_05,PFBBr,3-aminoisobutyrate,0.01783
