metabolomics_id,hmmf_panel,compound,value
LD_110_02,PFBBr,glycine,2.95687
LD_110_02,PFBBr,hexanoate,0.13971
LD_110_02,PFBBr,histamine,0.0076
LD_110_02,PFBBr,hydrocinnamate,0.0076
LD_110_02,PFBBr,indole-3-acetate,0.0076
LD_110_02,PFBBr,indole-3-carboxaldehyde,0.0076
LD_110_02,PFBBr,indole-3-propionate,0.0076
LD_110_02,PFBBr,isobutyrate,0.04782
LD_110_02,PFBBr,isoleucine,0.26055
LD_110_02,PFBBr,isovaleric acid,0.03893
LD_110_02,PFBBr,itaconate,0.0076
LD_110_02,PFBBr,leucine,7.65485
LD_110_02,PFBBr,lysine,9.8628
LD_110_02,PFBBr,methionine,2.72585
LD_110_02,PFBBr,palmitate,0.85496
LD_110_02,PFBBr,p-cresol,0.03462
LD_110_02,PFBBr,phenol,0.01503
LD_110_02,PFBBr,phenylacetate,0.0208
LD_110_02,PFBBr,phenylalanine,30.32176
LD_110_02,PFBBr,proline,1.1415
LD_110_02,PFBBr,propionate,0.18715
LD_110_02,PFBBr,serine,0.0076
LD_110_02,PFBBr,succinate,0.97346
LD_110_02,PFBBr,synephrine,0.0076
LD_110_02,PFBBr,threonine,0.15067
LD_110_02,PFBBr,toluate,0.0076
LD_110_02,PFBBr,trans-indole-3-acrylate,0.0076
LD_110_02,PFBBr,tryptamine,0.03028
LD_110_02,PFBBr,tryptophan,0.34534
LD_110_02,PFBBr,tyramine,0.18079
LD_110_02,PFBBr,tyrosine,0.0076
LD_110_02,PFBBr,valerate,0.06305
LD_110_02,PFBBr,valine,7.27905
LD_110_02,PFBBr,vanillin,0.0076
LD_135_08,PFBBr,2-methylbutyrate,0.36068
LD_135_08,PFBBr,3-aminoisobutyrate,0.00727
LD_135_08,PFBBr,4-methylvalerate,0.00727
LD_135_08,PFBBr,5-aminovalerate,0.01314
LD_135_08,PFBBr,acetate,1.9897
LD_135_08,PFBBr,alanine,14.19914
LD_135_08,PFBBr,aspartate,0.52835
LD_135_08,PFBBr,benzoate,0.5218
LD_135_08,PFBBr,butyrate,0.06336
LD_135_08,PFBBr,catechol,0.00727
LD_135_08,PFBBr,crotonate,0.00727
LD_135_08,PFBBr,cysteine,0.72732
LD_135_08,PFBBr,desaminotyrosine,0.01881
LD_135_08,PFBBr,dopamine,0.00727
LD_135_08,PFBBr,glutamate,0.44748
LD_135_08,PFBBr,glycine,52.37359
LD_135_08,PFBBr,hexanoate,0.15257
LD_135_08,PFBBr,histamine,0.00727
LD_135_08,PFBBr,hydrocinnamate,0.00727
LD_135_08,PFBBr,indole-3-acetate,0.00727
LD_135_08,PFBBr,indole-3-carboxaldehyde,0.00727
LD_135_08,PFBBr,indole-3-propionate,0.00727
LD_135_08,PFBBr,isobutyrate,0.25867
LD_135_08,PFBBr,isoleucine,1.6481
LD_135_08,PFBBr,isovaleric acid,0.45026
LD_135_08,PFBBr,itaconate,0.00727
LD_135_08,PFBBr,leucine,5.2
LD_135_08,PFBBr,lysine,6.1706
LD_135_08,PFBBr,methionine,1.56634
LD_135_08,PFBBr,palmitate,17.75983
LD_135_08,PFBBr,p-cresol,0.00727
LD_135_08,PFBBr,phenol,0.00727
LD_135_08,PFBBr,phenylacetate,0.03942
LD_135_08,PFBBr,phenylalanine,13.02753
LD_135_08,PFBBr,proline,36.36668
LD_135_08,PFBBr,propionate,2.01021
LD_135_08,PFBBr,serine,0.0359
LD_135_08,PFBBr,succinate,0.53395
LD_135_08,PFBBr,synephrine,0.00727
LD_135_08,PFBBr,threonine,0.08838
LD_135_08,PFBBr,toluate,0.00727
LD_135_08,PFBBr,trans-indole-3-acrylate,0.00727
LD_135_08,PFBBr,tryptamine,0.00727
LD_135_08,PFBBr,tryptophan,0.08176
LD_135_08,PFBBr,tyramine,0.03265
LD_135_08,PFBBr,tyrosine,0.00759
LD_135_08,PFBBr,valerate,0.03875
LD_135_08,PFBBr,valine,71.00684
LD_135_08,PFBBr,vanillin,0.00727
LD_136_14,PFBBr,2-methylbutyrate,0.03384
LD_136_14,PFBBr,3-aminoisobutyrate,0.03384
LD_136_14,PFBBr,4-methylvalerate,0.03384
LD_136_14,PFBBr,5-aminovalerate,0.40852
LD_136_14,PFBBr,acetate,4.00521
LD_136_14,PFBBr,alanine,2.50287
LD_136_14,PFBBr,aspartate,0.03384
LD_136_14,PFBBr,benzoate,1.11589
LD_136_14,PFBBr,butyrate,0.0688
LD_136_14,PFBBr,catechol,0.03384
LD_136_14,PFBBr,crotonate,0.03384
LD_136_14,PFBBr,cysteine,0.13391
LD_136_14,PFBBr,desaminotyrosine,0.03384
LD_136_14,PFBBr,dopamine,0.03384
LD_136_14,PFBBr,glutamate,0.1979
LD_136_14,PFBBr,glycine,24.81552
LD_136_14,PFBBr,hexanoate,0.07523
LD_136_14,PFBBr,histamine,0.03384
LD_136_14,PFBBr,hydrocinnamate,0.03384
LD_136_14,PFBBr,indole-3-acetate,0.03384
LD_136_14,PFBBr,indole-3-carboxaldehyde,0.03384
LD_136_14,PFBBr,indole-3-propionate,0.03384
LD_136_14,PFBBr,isobutyrate,0.05008
LD_136_14,PFBBr,isoleucine,9.49838
LD_136_14,PFBBr,isovaleric acid,0.05746
LD_136_14,PFBBr,itaconate,0.03384
LD_136_14,PFBBr,leucine,11.08215
LD_136_14,PFBBr,lysine,0.24287
LD_136_14,PFBBr,methionine,0.14866
LD_136_14,PFBBr,palmitate,15.33341
LD_136_14,PFBBr,p-cresol,0.03384
LD_136_14,PFBBr,phenol,0.03384
LD_136_14,PFBBr,phenylacetate,0.03384
LD_136_14,PFBBr,phenylalanine,1.91503
LD_136_14,PFBBr,proline,3.64278
LD_136_14,PFBBr,propionate,1.27687
LD_136_14,PFBBr,serine,0.03384
LD_136_14,PFBBr,succinate,0.03384
LD_136_14,PFBBr,synephrine,0.03384
LD_136_14,PFBBr,threonine,0.03384
LD_136_14,PFBBr,toluate,0.03384
LD_136_14,PFBBr,trans-indole-3-acrylate,0.03384
LD_136_14,PFBBr,tryptamine,0.03384
LD_136_14,PFBBr,tryptophan,0.03384
LD_136_14,PFBBr,tyramine,0.04714
LD_136_14,PFBBr,tyrosine,0.03384
LD_136_14,PFBBr,valerate,0.03384
LD_136_14,PFBBr,valine,21.74024
LD_136_14,PFBBr,vanillin,0.03384
LD_194_05,PFBBr,2-methylbutyrate,0.05394
LD_194_05,PFBBr,3-aminoisobutyrate,0.01856
LD_194_05,PFBBr,4-methylvalerate,0.01856
LD_194_05,PFBBr,5-aminovalerate,0.01856
LD_194_05,PFBBr,acetate,0.27869
LD_194_05,PFBBr,alanine,12.49202
LD_194_05,PFBBr,aspartate,0.76599
LD_194_05,PFBBr,benzoate,0.72142
LD_194_05,PFBBr,butyrate,0.0668
LD_194_05,PFBBr,catechol,0.01856
LD_194_05,PFBBr,crotonate,0.01856
LD_194_05,PFBBr,cysteine,2.10261
LD_194_05,PFBBr,desaminotyrosine,0.01856
LD_194_05,PFBBr,dopamine,0.01856
LD_194_05,PFBBr,glutamate,2.02162
LD_194_05,PFBBr,glycine,19.41429
LD_194_05,PFBBr,hexanoate,0.08408
LD_194_05,PFBBr,histamine,0.01856
LD_194_05,PFBBr,hydrocinnamate,0.01856
LD_194_05,PFBBr,indole-3-acetate,0.01856
LD_194_05,PFBBr,indole-3-carboxaldehyde,0.01856
LD_194_05,PFBBr,indole-3-propionate,0.01856
LD_194_05,PFBBr,isobutyrate,0.09276
LD_194_05,PFBBr,isoleucine,40.04216
LD_194_05,PFBBr,isovaleric acid,0.07415
LD_194_05,PFBBr,itaconate,0.01856
LD_194_05,PFBBr,leucine,45.37048
LD_194_05,PFBBr,lysine,4.85532
